source,data,target,stato,codice_regione,denominazione_provincia,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati,,,,,,,,,,,,,,,,,,,,,,
COVID-Delphi,21/09/2020,1 wk ahead cum death,US,41,Limestone County,46.729553,-94.6859,,,41,0,,,534496,403,,,535629,,8,,12644,12644,212,0,,,,,11195,6751,,0,547140,615,,,,,,0,547140,615
,21/09/2020,1 wk ahead cum death,US,9,Limestone County,41.603221,-73.087749,19330,19330,863,249,1967,,1120507,7948,,,,1121,,,174528,153016,0,0,,,,,,74439,,0,1273523,7948,,,62008,,,0,1273523,7948
,21/09/2020,1 wk ahead cum death,US,51,Limestone County,47.729553,-93.6859,6526,6526,626,98,,241,1147353,10119,,,1147353,796,94,,101596,95399,1155,0,,3300,,6891,,91317,,0,1242752,11100,,21856,,39902,,0,1242752,11100
,21/09/2020,1 wk ahead cum death,US,12,Limestone County,27.664827,-81.515754,,,,0,,,1616,0,,,,,,,0,0,0,0,,,,,,,,0,1616,0,,,,,,0,1616,0
,21/09/2020,1 wk ahead cum death,US,16,Limestone County,44.068202,-114.742041,20820,20820,832,101,,171,1428792,9117,,,,,91,,233912,228597,975,0,,,,,,38883,,0,1657389,10044,310123,,,,1657389,10044,,0
,21/09/2020,1 wk ahead cum death,US,15,Limestone County,19.898682,-155.665857,,,3077,0,,763,16415355,100362,,,,,,,877784,877784,3707,0,,,,,,,,0,17293139,104069,,,,,,0,17293139,104069
,21/09/2020,1 wk ahead cum death,US,10,Limestone County,38.910832,-75.52767,8332,8332,516,84,,,1014193,5287,165070,,,,,,87582,81528,1208,0,12594,,,,,7286,1724038,15588,1724038,15588,177664,,,,1095721,6279,,0
,21/09/2020,1 wk ahead cum death,US,24,Limestone County,39.045755,-76.641271,12043,12043,213,0,,,2005255,15448,,,,,,,64871,62261,416,0,,,,,,9651,,0,2070126,15864,,,,,,0,2067516,15846
,21/09/2020,1 wk ahead cum death,US,39,Limestone County,48.729553,-92.6859,,,96,0,,23,459945,2583,,,,,9,,16498,,53,0,,,,,,12938,476443,2636,476443,2636,,,,,244181,882,,0
,21/09/2020,1 wk ahead cum death,US,5,Limestone County,35.20105,-91.831833,,,99,0,,23,308105,704,,,,,,,23375,22263,50,0,,,,,,12335,,0,331480,754,,,,,331480,754,518486,3263
,21/09/2020,1 wk ahead cum death,US,29,Limestone County,49.729553,-91.6859,47895,47895,2125,0,,,5007558,0,487730,475588,7358921,,,4378,760389,735915,0,0,51923,,50676,,980858,,,0,5767947,0,539844,,526404,,5775214,0,8384437,27032
