data,stato,codice_regione,denominazione_regione,lat,long,ricoverati_con_sintomi,terapia_intensiva,totale_ospedalizzati,isolamento_domiciliare,totale_positivi,variazione_totale_positivi,nuovi_positivi,dimessi_guariti,deceduti,casi_da_sospetto_diagnostico,casi_da_screening,totale_casi,tamponi,casi_testati
2020-10-10 18:00:00,US,0,Alabama,62.588753,-155.493062,64635,122,,-1,1660,,,,-1,,,57152,1732,1732
2020-10-10 18:00:00,US,0,Alabama,31.318231,-87.902298,64635,171,,0,1275,358,358,113,11,108,,41281,85,85
2020-10-10 18:00:00,US,0,Alabama,34.20105,-92.831833,64635,12095,10434,82,3127,,,3508,-1,,1052,357529,16298,16298
2020-10-10 18:00:00,US,0,Alabama,33.048928,-112.093731,64635,264,,5,155,885,885,210,-1,,,127314,4587,4587
2020-10-10 18:00:00,US,1,Alaska,35.778261,-120.417932,64636,382,,7,126,,,422,-1,,104,74925,1145,1145
2020-10-10 18:00:00,US,1,Alaska,38.550051,-106.782067,64637,22728,,109,186,86900,86900,5839,325,,1907,1088185,24910,24910
2020-10-10 18:00:00,US,1,Alaska,40.603221,-74.087749,64638,1656,1503,31,152,4997,4997,911,76,1327,366,243394,6855,6855
2020-10-10 18:00:00,US,Z1,Alaska,37.905985,-78.033418,64639,287,,-1,167.5,884,884,75,4,,44,118161,-1,-1
2020-10-10 18:00:00,US,3,Arizona,37.910832,-76.52767,64640,137,,0,172.6,707,707,136,4,,42,93627,2894,2894
2020-10-10 18:00:00,US,3,Arizona,26.664827,-82.515754,64641,4504,,86,177.7,,,1884,-1,,,277552,6882,6882
2020-10-10 18:00:00,US,3,Arizona,31.157435,-83.907123,64642,123,59,0,182.8,,,146,-1,,16,,-1,-1
2020-10-10 18:00:00,US,3,Arizona,18.898682,-156.665857,64643,505,,6,187.9,1437,1437,235,19,,61,81056,1288,1288
2020-10-10 18:00:00,US,4,Arkansas,40.878003,-94.097702,64644,390,390,10,193,1420,1420,,-1,,,122616,10946,10946
2020-10-10 18:00:00,US,4,Arkansas,43.068202,-115.742041,64645,43,,-1,198.1,315,315,76,3,,,25017,445,445
2020-10-10 18:00:00,US,4,Arkansas,39.633125,-90.398528,64646,300,300,2,203.2,1488,1488,637,6,,,319416,11524,11524
2020-10-10 18:00:00,US,4,Arkansas,39.551217,-86.602364,64647,1346,,10,208.3,,,1550,-1,,,631151,28580,28580
2020-10-10 18:00:00,US,5,California,38.011902,-99.484246,64648,79,,-1,213.4,594,594,178,8,196,,166637,3123,3123
2020-10-10 18:00:00,US,5,California,36.839333,-85.270018,64649,1013,979,4,218.5,5608,5608,1501,91,,360,165085,5112,5112
2020-10-10 18:00:00,US,5,California,30.244823,-93.145024,64650,5,5,-1,223.6,,,,-1,,,1277,-1,-1
2020-10-10 18:00:00,US,5,California,41.407211,-72.382437,64651,53,53,-1,228.7,,,21,-1,,,23546,572,572
2020-10-10 18:00:00,US,7,Colorado,38.045755,-77.641271,64652,1000,1000,0,233.8,,,167,-1,,51,290723,8142,8142
2020-10-10 18:00:00,US,7,Colorado,44.253783,-70.445469,64653,458,458,5,238.9,2067,2067,378,29,495,126,144501,4827,4827
2020-10-10 18:00:00,US,7,Colorado,43.314844,-86.602364,64654,66,,-1,244,,,47,-1,,10,74543,543,543
2020-10-11 14:00:00,US,7,Colorado,45.729553,-95.6859,64655,7,,-1,249.1,72,72,7,2,,,16330,-1,-1
2020-10-11 14:00:00,US,8,Connecticut,36.964253,-92.831833,64656,9,9,-1,254.2,,,12,-1,,,34254,1365,1365
2020-10-11 14:00:00,US,8,Connecticut,31.354668,-90.398528,64657,487,487,2,259.3,1391,1391,459,4,503,,144578,2607,2607
2020-10-11 14:00:00,US,8,Connecticut,45.879682,-111.362566,64658,97,,-1,264.4,519,519,64,-1,,,80425,3359,3359
2020-10-11 14:00:00,US,8,Connecticut,34.759573,-80.0193,64659,-1,,-1,269.5,,,,-1,,,104,-1,-1
2020-10-11 14:00:00,US,9,Delaware,46.551493,-102.002012,64660,679,,0,274.6,2702,2702,795,29,,336,137823,4666,4666
2020-10-11 14:00:00,US,9,Delaware,40.492537,-100.901813,64661,3260,,56,279.7,,,4290,-1,,1292,1156403,54070,54070
2020-10-11 14:00:00,US,9,Delaware,42.193852,-72.572395,64662,877,,-1,284.8,3865,3865,649,23,,,103914,3306,3306
2020-10-11 14:00:00,US,9,Delaware,39.058324,-75.405661,64663,3407,,68,289.9,10945,10945,936,-1,,,133187,5135,5135
2020-10-11 14:00:00,,10,District of Columbia,33.97273,-106.032363,64664,382,,7,295,,,368,-1,,,29402,912,912
2020-10-11 14:00:00,,10,District of Columbia,37.80261,-117.419389,64665,391,344,8,300.1,,,228,-1,,,33194,983,983
2020-10-11 14:00:00,,10,District of Columbia,42.299428,-75.217933,64666,2048,2048,8,305.2,8477,8477,,84,,,606203,20967,20967
2020-10-11 14:00:00,,10,District of Columbia,39.417287,-83.907123,64667,1605,,13,310.3,6789,6789,1009,54,1556,,313473,29551,29551
2020-10-11 14:00:00,,11,Florida,34.007752,-98.092877,64668,4,,-1,315.4,,,,-1,,,4449,84,84
2020-10-11 14:00:00,,11,Florida,42.804133,-121.554201,64669,16,,-1,320.5,81,81,,0,,,41034,789,789
2020-10-11 14:00:00,,11,Florida,40.203322,-78.194525,64670,350,,4,325.6,,,375,-1,,123,85589,3617,3617
2020-10-11 14:00:00,,11,Florida,17.220833,-67.590149,64671,72,,-1,330.7,212,212,25,-1,88,,34252,953,953
2020-10-11 14:00:00,,12,Georgia,40.580095,-72.477429,64672,4176,4176,47,335.8,,,4189,-1,,1143,487752,18560,18560
2020-10-11 14:00:00,,12,Georgia,32.836081,-82.163725,64673,1750,1606,9,340.9,4388,4388,1245,-1,989,440,149464,5386,5386
2020-10-11 14:00:00,,12,Georgia,42.969515,-100.901813,64674,171,,-1,346,723,723,,-1,245,,53705,-1,
2020-10-11 14:00:00,,12,Georgia,34.517491,-87.580447,64675,333,333,1,351.1,1895,1895,380,-1,796,217,121996,1706,
